location,det1,det2,det3,det4,det5,totals,treat,year,season1,season2,season3,season4,season5,uv,gv,cvb,uvVar,uvRange,iqr75 ,iqr50,max,min,median,site
f12,0,0,0,0,0,0,Control,1,a,a,a,b,b,0.27,0.14,0.87,484.78,82.99,31.45,23.59,85.7,2.71,23.59,FSS
f1,1,1,1,0,0,3,Playback,2,a,a,a,b,b,0.17,0.38,0.87,302.99,68.98,24.99,12.54,68.98,0,12.54,FSS
f2,0,0,0,0,0,0,Control,2,a,a,a,b,b,0.18,0.17,0.87,622.92,75.32,22.62,4.99,75.32,0,4.99,FSS
f3,1,0,0,2,1,4,Control,2,a,a,a,b,b,0.18,0.37,0.88,135.08,33.37,27.19,12.31,39.83,6.45,12.31,FSS
f4,1,0,0,1,0,2,Playback,2,a,a,a,b,b,0.24,0.18,0.89,166.31,46.45,26.95,24.4,54.47,8.02,24.4,FSS
f5,0,0,0,1,2,3,Playback,2,a,a,a,b,b,0.43,0.16,0.87,284.83,66.1,54.19,42.74,73.74,7.64,42.74,FSS
f6,0,0,0,2,0,2,Control,2,a,a,a,b,b,0.27,0.15,0.87,238.91,58.84,36.05,24.29,59.25,0.41,24.29,FSS
f7,0,0,0,0,0,0,Control,2,a,a,a,b,b,0.35,0.21,0.89,349.24,64.92,46.4,34.2,70.58,5.65,34.2,FSS
f8,0,1,0,0,0,1,Playback,2,a,a,a,b,b,0.38,0.16,0.89,283.14,45.45,54.57,31.26,62.96,17.5,31.26,FSS
f9,0,0,1,0,0,1,Control,2,a,a,a,b,b,0.21,0.17,0.85,401.75,59.45,36.25,13.4,59.45,0,13.4,FSS
f10,0,1,1,1,0,3,Playback,2,a,a,a,b,b,0.26,0.26,0.87,625.84,66.03,50.18,25.29,66.14,0.11,25.29,FSS
f11,0,1,1,1,0,3,Control,2,a,a,a,b,b,0.03,0.11,0.88,44.4,20.15,6.27,1.54,20.15,0,1.54,FSS
f12,1,1,1,1,1,5,Playback,2,a,a,a,b,b,0.27,0.14,0.87,484.78,82.99,31.45,23.59,85.7,2.71,23.59,FSS
